"Data Source","World Development Indicators",

"Last Updated Date","2022-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Senegal","SEN","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","2.5089605734767","2.00803212851406","3.07692307692308","3.08529945553539","4.45544554455445","5.72998430141287","2.2834116856951","3.89153221478911","11.7021276595745","4.45656113588729","2.43652337289459","27.1224576713837","20.3050096846816","27.501694845615","16.9457951579055","16.5451363727804","12.3197279744629","19.6086372819219","26.421118015188","17.818071009811","30.2291885091214","36.2753865883986","20.578838632839","12.9804446138509","22.3254106345659","20.7242153167425","16.2727908317484","19.9474564258214","18.0889214539546","16.4717089070009","18.2458947491338","12.4708751068892","18.8747686001816","17.6846146723172","21.9446996254178","25.5466460739488","25.2503517240333","25.6555943169391","26.1860988260616","25.5054864257058","28.0299193381029","30.1046608061075","32.4246525743627","38.6737716258789","38.875724107805","40.6957624500561","43.0843117658182","51.0743552053533","46.5851620031228","43.7215195632905","50.7663910612224","43.3185392130043","43.9241251120522","46.1692413858026","45.6146513242302","42.4168972662835","44.9634258943075","43.2517568334248","35.3999720079624","41.1334033167322","",
"Senegal","SEN","ICT goods exports (% of total goods exports)","TX.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1954828414","0.2019300557","0.2326098799","0.2269068885","0.4168179855","0.3921412755","1.5518262056","0.4710646812","0.4682987712","0.2585629931","0.3952860929","0.4425676472","0.3090110259","0.2504012648","0.3674722707","1.0452141523","0.522133111","0.2241944676","0.2613064355","0.0981737368","0.1081333054",
"Senegal","SEN","Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports)","TM.VAL.MRCH.R6.ZS","1.10208816705336","1.19798234552333","1.55440414507772","2.13649851632047","3.15604909409702","6.53235653235653","1.93548387096774","8.28998024641558","10.8198549916341","2.20682811212864","1.41373144346385","4.55806870358563","10.7025940771633","10.5488359742993","10.1712928483726","10.2255196858925","7.91652240683672","7.63883975482759","6.53543013657791","7.09121637229611","11.0002538739549","7.60548377111976","13.5412318643316","6.49330358295024","8.69208635755818","9.96008328091231","15.2812036237786","10.7514912672735","14.5545990575983","19.8101343700404","20.7067749917105","19.8969866117177","16.0966823065641","13.3095936703162","9.38582133978277","13.4474625970137","10.1848775021108","11.1096140639361","10.9976168047381","12.2901145451365","20.1140840352946","16.8949998117404","15.7731061025039","20.1335506797735","19.7789466899703","18.8184441951686","11.7726564042468","15.3379704465853","19.8338994858105","14.470917884956","15.1742289729846","16.6578317775338","18.7153622329245","16.7641291637445","13.9766282523078","14.2596489504704","13.5230729857978","14.1729062187977","15.0969325969786","10.0754718716723","",
"Senegal","SEN","Agricultural raw materials imports (% of merchandise imports)","TM.VAL.AGRI.ZS.UN","","","1.13632686443813","1.0689310241021","1.06035691507521","3.4058228630577","4.17137424003919","4.5280043596728","3.98196084320014","3.08607865688559","3.09999250744536","2.84029528449766","2.72687043947623","2.64209446417963","2.2692876724093","3.16358145930909","","1.60518906980991","1.05691240134195","1.12586737027231","0.947166114426655","0.706668501082651","","","","","1.26688230592467","1.80019297752821","","","","","","","","","1.6191781328463","1.75216076003663","2.11569835780503","2.31480843462783","2.07288435380247","1.93711521400155","1.87220449012447","1.76144370432121","1.96113207935356","1.62625595026917","1.60707159179034","1.45743548527084","1.29437414710372","1.52500811751884","1.51707404781415","1.60459635753662","1.52189731470547","1.48530511070206","1.48918268782193","1.7520980071922","1.83976736947293","1.56221172826124","1.50119560460645","1.55538257569077","1.47312564651026",
"Senegal","SEN","Bound rate, simple mean, all products (%)","TM.TAX.MRCH.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.96","29.96","29.97","29.97","29.97","29.97","29.97","29.97","29.97","29.97","29.97","29.97","29.97","29.97","29.97","29.97","29.97","29.97","29.97","29.97",
"Senegal","SEN","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82000000","74000000","75000000","81000000","82000000","78000000","69000000","69000000","74000000","81000000","79000000","85000000","99000000","101000000","103000000","57000000","99000000","104000000","115000000","132000000","128000000","130000000","141000000","153000000","","",
"Senegal","SEN","Completeness of birth registration, rural (%)","SP.REG.BRTH.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.5","","","","","","65.9","","63.7","62.5","57.8","60.5","69.7","68.2","70.7","",
"Senegal","SEN","Population ages 80 and above, female (% of female population)","SP.POP.80UP.FE.5Y","0.185062035446879","0.200855356364264","0.209076287548725","0.207974653447194","0.195858357199677","0.172405741572753","0.185707105965616","0.192433189634115","0.191058043323499","0.18015581069385","0.158904842956141","0.171988523683229","0.179399653785444","0.180358167654642","0.17418696601269","0.160213596274849","0.176663360545662","0.188149606926705","0.193909374357218","0.193104099524414","0.185275877719356","0.203862619807193","0.217404908608416","0.224829098062297","0.226385541862081","0.221620351323462","0.24207101547221","0.257379806298208","0.267005389037678","0.27057417853423","0.268399207447245","0.290308872422171","0.305823417663213","0.3141964341605","0.315807763470551","0.311128494972418","0.333067797800619","0.347653872296804","0.353993620473922","0.35182094503518","0.341775567711588","0.363000046744079","0.376155217454548","0.380347592961935","0.375552114824679","0.362474813447636","0.383832590295909","0.396756995109436","0.400316300904474","0.394968342310533","0.381565516093337","0.402827248009177","0.416109398912089","0.420989985299457","0.417887978175466","0.407893644005671","0.429139171941554","0.442510813483601","0.447213504502149","0.44352472937195","0.432373417223201",
"Senegal","SEN","Population ages 55-59, female (% of female population)","SP.POP.5559.FE.5Y","2.62563735154288","2.61051573809814","2.60033485149936","2.59509970465308","2.59614129470686","2.60297374111228","2.5796059352287","2.56575872004673","2.56024782014229","2.56100509719802","2.56631321374168","2.5457793657883","2.5333283946364","2.52739831717724","2.5265324451132","2.52944897995978","2.51609639404068","2.50802648555583","2.5040408834752","2.50312341731179","2.50423813188528","2.48974500268204","2.47984344952279","2.47334973047082","2.46931055630342","2.46687568350418","2.4496570037619","2.4377428521719","2.42911632605084","2.4220220817548","2.41535478375426","2.39958387265313","2.38543759663577","2.37242476747651","2.36045758079513","2.34919595455323","2.32709591552414","2.30950007784588","2.2941091544004","2.27782248023888","2.25933011186203","2.22822571796657","2.19706979832582","2.17180110525978","2.16089081222286","2.16793855450784","2.18174460278862","2.21172733103504","2.24896378302642","2.28200594222821","2.30481004034997","2.31133622079745","2.31251469138432","2.31185063717651","2.31490222253407","2.32470134045279","2.33322911932495","2.34927315064944","2.37112828878501","2.39671499003165","2.42496773354469",
"Senegal","SEN","Population ages 15-64, total","SP.POP.1564.TO","1714662","1751893","1790836","1832845","1880651","1935749","1984880","2042903","2108483","2179507","2254627","2315769","2383709","2455967","2529958","2604076","2645480","2689080","2736175","2788760","2848569","2908429","2977506","3055193","3141221","3235309","3324977","3426254","3537014","3654574","3777682","3900114","4027286","4159085","4296092","4438287","4559203","4686105","4819320","4958380","5103375","5244521","5393768","5550436","5713418","5881792","6045777","6214646","6389395","6571680","6762208","6949178","7147093","7354600","7570335","7794338","8030114","8278519","8538782","8810083","9092003",
