"","zones","regions","Date","Population résidente par zone","Taux d'urbanisation","Repartition des ménages par zones","Taille des ménages"
"80","Urban","Kaffrine",2011,76076,NA,9219.18716876672,9.01616180064359
"81","Urban","Kaffrine",2012,80828,NA,9312.8297633667,9.40472619230368
"82","Urban","Kaffrine",2013,85877,NA,9081,9.45677788789781
"83","Urban","Kaffrine",2014,95247,NA,10071.823736274,9.45677788789781
"84","Urban","Kaffrine",2015,101200,NA,10701.3193288075,9.45677788789781
"85","Urban","Kaffrine",2016,107444,NA,11361.5865016244,9.45677788789781
"86","Urban","Kaffrine",2017,113991,NA,12053.8941858705,9.45677788789781
"87","Urban","Kaffrine",2018,120854,NA,12779.6170569536,9.45677788789781
"88","Urban","Kaolack",2000,239659,NA,41028,7.9
"89","Urban","Kaolack",2001,244657,NA,36090,8
"90","Urban","Kaolack",2002,249759,NA,28506,8.7
"91","Urban","Kaolack",2003,257745,NA,28422,8.84883496811127
"92","Urban","Kaolack",2004,264887,NA,28339,8.86838182401425
"93","Urban","Kaolack",2005,272227,NA,28255,8.88724932444854
"94","Urban","Kaolack",2006,279770,NA,28172,8.90544583454666
"95","Urban","Kaolack",2007,287522,NA,28089,8.92297963688525
"96","Urban","Kaolack",2008,295489,NA,28007,8.93985893222241
"97","Urban","Kaolack",2009,303677,NA,27924,8.95609184022885
"98","Urban","Kaolack",2010,312091,NA,27842,8.97168640021279
"99","Urban","Kaolack",2011,320739,NA,27760,8.98665057183888
"100","Urban","Kaolack",2012,329626,NA,27679,12.4453259130147
"101","Urban","Kaolack",2013,338760,NA,40148,8.43778021321112
"102","Urban","Kaolack",2014,355678,NA,42153,8.43778021321112
"103","Urban","Kaolack",2015,370861,NA,43952,8.43778021321112
"104","Urban","Kaolack",2016,386648,NA,45823,8.43778021321112
"105","Urban","Kaolack",2017,403078,NA,47771,8.43778021321112
"106","Urban","Kaolack",2018,420151,NA,49794,8.4
"107","Urban","Kédougou",2008,20795,NA,3548.48672277052,7.8
"108","Urban","Kédougou",2009,23401,NA,3727.60656082693,7.8
"109","Urban","Kédougou",2010,26334,NA,3592.61118546795,8.5
"110","Urban","Kédougou",2011,29634,NA,3772.52159122807,8.5
"111","Urban","Kédougou",2012,33348,NA,3898.91291888451,9.63089296458131
"112","Urban","Kédougou",2013,37528,NA,5388,6.96510764662212
"113","Urban","Kédougou",2014,40651,NA,5836.37785120443,6.96510764662212
"114","Urban","Kédougou",2015,42322,NA,6076.28799829461,6.96510764662212
"115","Urban","Kédougou",2016,44230,NA,6350.22489874227,6.96510764662212
"116","Urban","Kédougou",2017,46225,NA,6636.65263270092,6.96510764662212
"117","Urban","Kédougou",2018,48133,NA,6910.58953314858,6.96510764662212
"118","Urban","Kolda",2000,101413,NA,14642.0656199837,7.9
"119","Urban","Kolda",2001,105603,NA,12936.625,8
"120","Urban","Kolda",2002,109966,NA,12320,8.9
"121","Urban","Kolda",2003,115256,NA,12128.4265823707,9.57078108126655
"122","Urban","Kolda",2004,119798,NA,11939.8320912301,9.85892524803968
"123","Urban","Kolda",2005,124519,NA,15287.9229130515,7.8
